Name,Quantity,Measurement,Ingredient
slow cooker tempeh chili,6,cloves,garlic
slow cooker tempeh chili,2,cans,kidney beans
slow cooker tempeh chili,2,cans,black beans
slow cooker tempeh chili,2,cans,fire roasted tomatoes
slow cooker tempeh chili,4,T,chili powder
slow cooker tempeh chili,2,t,garlic powder
slow cooker tempeh chili,2,t,cumin
slow cooker tempeh chili,4,t,chipotle powder
slow cooker tempeh chili,2,t,salt and pepper
slow cooker tempeh chili,7,T,cilantro
slow cooker tempeh chili,500,g,cherry tomatoes
stuffing,1/4,c,butter
stuffing,2,stalks,celery
stuffing,1,onion,
stuffing,2.5,c,vegetable broth
stuffing,1,package,stuffing
loaded sweet potatoes,4,sweet,potatoes
loaded sweet potatoes,1,c,onion
loaded sweet potatoes,2,cloves,garlic
loaded sweet potatoes,1,block,tofu
loaded sweet potatoes,1,T,taco seasoning
loaded sweet potatoes,1,c,"tomato, diced"
loaded sweet potatoes,1,c,"lettuce, chopped"
loaded sweet potatoes,4-8,T,cilantro
loaded sweet potatoes,1,lime,
loaded sweet potatoes,1,c,black beans
loaded sweet potatoes,1,c,salsa
chai sugar cookies,1/2,c,unsalted butter
chai sugar cookies,1/2,c,vegetable oil
chai sugar cookies,1/2,c,sugar
chai sugar cookies,1/2,c,powdered sugar
chai sugar cookies,1,T,flaxseed + 3 T water
chai sugar cookies,2,t,vanilla
chai sugar cookies,2,c,flour
chai sugar cookies,1/2,t,baking soda
chai sugar cookies,1/2,t,salt
chai sugar cookies,2-4,chai,tea bags
chai sugar cookies,1,1/2,c powdered sugar
chai sugar cookies,1/4,t,nutmeg
chai sugar cookies,3,T,eggnog or milk
pumpkin pudding,1,c,pumpkin puree
pumpkin pudding,1/2,c,coconut milk
pumpkin pudding,1/4,c,maple syrup
pumpkin pudding,2,T,almond butter
pumpkin pudding,1,1/2,t cinnamon
pumpkin pudding,1,1/2,t vanilla
pumpkin pudding,1/4,t,sea salt
pumpkin pudding,1/2,c,"pecans, toasted"
pumpkin pudding,coconut,whip,
granola balls,1,c,peanut butter
granola balls,2/3,c,maple syrup
granola balls,1,t,vanilla
granola balls,1/2,t,salt
granola balls,2,1/2,c oats
granola balls,1/3,c,chocolate chips
granola balls,3,T,peanuts/cashews
chocolate chip cookies,1,c,flour
chocolate chip cookies,1/2,t,baking soda
chocolate chip cookies,1/4,t,salt
chocolate chip cookies,1/4,c,sugar
chocolate chip cookies,1/4,c,brown sugar
chocolate chip cookies,1/3,c,chocolate chips
chocolate chip cookies,2,T,almond milk
chocolate chip cookies,2,T,oil or melted butter
chocolate chip cookies,1/4,t,vanilla
banana protein bars,2c,oat,flour
banana protein bars,½,c,almond flour
banana protein bars,½,c,protein powder
banana protein bars,1t,cinnamon,
banana protein bars,¼,c,almond butter
banana protein bars,½,c,maple syrup
banana protein bars,1,small,banana
banana protein bars,¼,c,chopped nuts
banana protein bars,1T,milk,
falafel burrito,1,onion,
falafel burrito,2c,carrots,
falafel burrito,1,red,bell pepper
falafel burrito,15,oz,chickpeas
falafel burrito,1,¼,t salt
falafel burrito,3t,garlic,powder
falafel burrito,2t,cumin,
falafel burrito,1t,coriander,
falafel burrito,½,t,chili powder
falafel burrito,olive,oil,
falafel burrito,½,c,parsley
falafel burrito,½,c,cilantro
falafel burrito,½,lemon,
falafel burrito,¾,c,hummus
falafel burrito,5,tortillas,
chia seed pudding,⅓,c,chia seeds
chia seed pudding,1,¼,c almond milk
chia seed pudding,1T,maple,syrup
chia seed pudding,1t,vanilla,
overnight oats,½,c,old fashioned oats
overnight oats,½,c,milk
overnight oats,¼,c,yogurt or milk
overnight oats,1-2,t,maple syrup
overnight oats,pinch,salt,
overnight oats,1t,chia,seeds (optional)
